video1,video2,mutual
3714,3714,550
3714,5192,2
2735,2735,219
2735,791,2
2735,2503,2
2735,4212,2
794,794,22
794,1395,2
1395,1395,24
1395,794,2
53,4145,2
53,53,25
53,2721,2
1957,1957,25
1957,4,2
1290,1290,14
1290,4395,3
1290,1189,5
1290,1234,5
1290,4744,3
1290,4843,4
1290,485,2
803,803,10
3282,3282,106
3282,297,3
4692,4692,35
4692,4394,3
4888,4888,17
1149,1149,78
4566,4566,83
1206,1206,85
1206,1349,2
1398,1398,108
1398,4744,2
1398,2834,2
1398,4076,2
1398,4456,2
1398,5157,2
4485,4485,28
4485,4735,5
4485,1053,3
1104,1104,109
1104,960,2
1104,1873,2
1104,3720,2
297,297,99
297,3282,3
5042,5042,17
4843,4843,17
4843,1234,3
4843,1189,4
4843,1290,4
4843,485,3
4843,4744,2
4735,4735,33
4735,4485,5
4735,1053,2
1926,1926,11
4975,4975,4
162,162,6
4305,4305,16
4395,1290,3
4395,4395,13
4395,1189,4
4395,4744,3
4395,1234,2
5485,5485,97
4919,4919,8
713,713,16
713,1583,2
1392,1392,5
536,536,526
536,4734,4
536,4376,2
536,3093,2
536,2902,6
536,533,2
536,5439,2
536,2834,2
536,451,2
536,3018,3
536,1791,2
536,4950,2
536,168,2
536,1036,6
536,113,2
536,2656,4
536,2961,9
536,4729,4
536,1217,6
536,4592,2
536,4778,5
536,646,6
536,647,3
536,3016,3
536,3618,2
536,1160,2
536,733,2
536,5235,2
536,4993,2
536,1559,3
536,2236,2
536,3157,2
536,3900,2
536,4439,5
536,4882,2
536,4076,7
536,3089,2
536,2880,3
536,4537,2
536,1903,2
536,1564,2
536,3398,2
536,3622,4
536,1272,2
536,3175,2
536,545,2
536,1583,3
536,1328,2
536,4688,3
536,3809,3
536,5157,3
536,1387,4
536,1053,2
536,1580,3
536,3936,4
536,3472,2
536,1042,2
536,2775,2
536,4945,2
536,5307,2
536,4014,2
536,5401,2
536,1369,3
536,424,2
536,3102,2
536,3961,2
536,628,2
536,3177,2
536,4309,2
536,1478,2
536,3549,2
2198,2198,5
1848,1848,8
1189,1290,5
1189,4395,4
1189,1189,15
1189,485,2
1189,1234,6
1189,4744,5
1189,4843,4
4448,4448,3
1459,1459,4
485,485,18
485,1234,2
485,1189,2
485,4744,3
485,4843,3
485,1290,2
4192,4192,7
4294,4294,3
4473,4473,106
4473,1131,2
4473,246,3
4473,516,2
4473,3092,2
4473,2186,2
4473,2398,5
4473,1312,3
81,81,29
2739,2739,5
2903,2903,9
2022,2022,4
931,931,7
4280,4280,11
3544,3544,51
3544,1233,3
3544,4416,2
